LoanNumber,LoanPhase,LoanProgram,LoanSubType,State,City,County,Zip,Sum of PropertyCount,Sum of UnitCount,Sum of Sqft,Sum of MedianSqft,Avg. Prop. Cost/Sqft
72166,Servicing,New Construction,Refi-External,Utah,Tremonton,Box Elder,84337,6,6,"8,625","8,625",$200.52
72165,Paid Off,New Construction,Purchase,Idaho,Eagle,Ada,83616,9,9,"27,346","27,346",$153.02
72163,Servicing,All In One,Refi-External,Washington,Issaquah,King,98027,50,50,"191,586","191,586",$193.60
72162,Paid Off,New Construction,Refi-External,Colorado,Aurora,Arapahoe,80016,4,20,"26,720","4,832",$132.78
72160,Production,New Construction,Purchase,Nevada,Mesquite,Clark,89027,4,4,"5,792","5,792",$649.17
72158,Paid Off,New Construction,Purchase,Florida,Ocala,Marion,34473,1,1,"2,550","2,550",$78.43
72157,Servicing,New Construction,Purchase,Tennessee,Nashville,Davidson,37212,1,7,"19,304","2,130",$415.85
72155,Production,New Construction,Refi-External,California,Corona,Riverside,92881,2,3,"3,325","1,290",$234.51
72154,Servicing,New Construction,Refi-External,California,N Hollywood,Los Angeles,91601,2,4,"6,748","3,228",$234.72
72152,Production,New Construction,Refi-External,Utah,Garland,Box Elder,84312,1,1,"2,497","2,497",$127.49
72151,Servicing,New Construction,Purchase,Florida,Cape Coral,Lee,33993,120,120,"182,960","182,960",$123.74
72150,Production,New Construction,Purchase,Pennsylvania,Philadelphia,Philadelphia,19121,2,4,"6,848","2,776",$252.04
72149,Production,New Construction,Purchase,Pennsylvania,Philadelphia,Philadelphia,19121,2,4,"6,848","2,776",$252.04
72148,Servicing,New Construction,Purchase,Montana,Missoula,Missoula,59825,5,5,"9,826","9,826",$104.99
72147,Servicing,New Construction,Purchase,Montana,Missoula,Missoula,59825,4,4,"7,352","7,352",$107.35
72145,Servicing,All In One,Refi-External,Georgia,Mableton,Cobb,30126,3,3,"8,300","8,300",$84.79
72144,Paid Off,New Construction,Purchase,Washington,Camano Island,Island,98282,2,2,"4,964","4,964",$181.31
72143,Production,New Construction,Refi-External,Georgia,Douglasville,Douglas,30135,1,1,"3,277","3,277",$97.57
72140,Servicing,New Construction,Purchase,California,Monte Sereno,Santa Clara,95030,1,1,"3,485","3,485",$289.03
72138,Production,New Construction,Refi-External,Florida,Poinciana,Polk,34759,2,2,"3,320","3,320",$208.38
72137,Production,New Construction,Refi-External,Florida,Poinciana,Polk,34759,3,3,"4,980","4,980",$297.95
72136,Production,New Construction,Refi-External,Florida,Poinciana,Polk,34759,1,1,"1,660","1,660",$99.41
72135,Production,New Construction,Refi-External,Florida,Poinciana,Polk,34759,4,4,"6,640","6,640",$402.43
72134,Production,New Construction,Refi-External,Florida,Poinciana,Polk,34759,4,4,"6,640","6,640",$412.93
72131,Paid Off,Fix and Flip,Purchase,Pennsylvania,Philadelphia,Philadelphia,19125,1,1,940,940,$69.15
72130,Servicing,New Construction,Purchase,California,Apple Valley,San Bernardino,92307,8,8,"22,744","22,744",$114.93
72128,Production,New Construction,Refi-External,Washington,Schneiders Prairie,Thurston,98501,1,1,"2,305","2,305",$167.03
72127,Production,New Construction,Refi-External,Hawaii,Hono,Honolulu,96826,1,4,"5,900","1,200",$294.96
